table_size,elements_inserted,collisions,duplicates,max_in_slot,min_in_slot,max_hashed_in_slot,min_hashed_in_slot,stddev
4,5000,4996,0,1309,1227,1946,109,39.47995271864781
7,5000,4993,0,730,684,1946,109,15.531841334436018
8,5000,4992,0,666,580,1946,109,30.151995906454637
16,5000,4984,0,346,283,1946,109,16.753109164172084
17,5000,4983,0,312,279,1946,109,9.218746884346432
31,5000,4969,0,185,142,1946,109,11.736534265239452
32,5000,4968,0,174,126,1946,109,11.59532720121454
64,5000,4936,0,102,59,1946,109,9.252198365965496
67,5000,4933,0,91,53,1946,109,8.764314388119798
128,5000,4872,0,56,24,1946,109,6.727250962451975
256,5000,4744,0,33,5,1946,109,5.081203346745768
257,5000,4743,0,35,7,1946,109,5.174205633688008
509,5000,4502,0,28,1,1946,109,6.881746717360734
512,5000,4509,0,30,1,1946,109,7.306254859931857
1021,5000,4243,0,28,1,1946,109,5.848261159622951
1024,5000,4235,0,28,1,1946,109,5.83999235895803
