unix time ms,samples
1760398646276,-231255
1760398646316,-224526
1760398646356,-219194
1760398646396,-217295
1760398646436,-215347
1760398646476,-212877
1760398646516,-215468
1760398646556,-218410
1760398646596,-212887
1760398646636,-209884
1760398646676,-210758
1760398646716,-211561
1760398646757,-216653
1760398646797,-215417
1760398646837,-231978
1760398646877,-246550
1760398646917,-245897
1760398646957,-250075
1760398646997,-252606
1760398647037,-253289
1760398647077,-253249
1760398647117,-279711
1760398647157,-331914
1760398647197,-412567
1760398647236,-212535
1760398647276,-231616
1760398647316,-213750
1760398647356,-171249
1760398647396,-134442
1760398647436,-94874
1760398647476,-75049
1760398647516,-85544
1760398647556,-76978
1760398647596,-55355
1760398647636,-22676
1760398647676,23459
1760398647716,51549
1760398647756,71504
1760398647796,76998
1760398647836,78896
1760398647876,79789
1760398647916,78524
1760398647956,76616
1760398647996,77409
1760398648036,76726
1760398648076,76445
1760398648116,76666
1760398648156,77942
1760398648196,75120
1760398648236,79528
1760398648276,74216
1760398648316,39548
1760398648356,-165424
1760398648396,-306937
1760398648436,-285386
1760398648476,-316729
1760398648516,-193484
1760398648556,-143752
1760398648596,-141081
1760398648636,-182457
1760398648676,147175
1760398648716,147251
1760398648756,146763
1760398648796,147499
1760398648836,145596
1760398648876,145676
1760398648916,145980
1760398648956,146404
1760398648996,145464
1760398649036,142115
1760398649076,143665
1760398649116,146028
1760398649155,150377
1760398649195,154462
1760398649235,163847
1760398649275,164954
1760398649315,157911
1760398649355,162332
1760398649395,178537
1760398649435,218688
1760398649475,307297
1760398649515,357154
1760398649555,393580
1760398649595,445583
1760398649635,570878
1760398649675,658420
1760398649715,807666
1760398649755,960074
1760398649795,1333468
1760398649835,2775784
1760398649875,21593205
1760398649915,72149648
1760398649955,50709122
1760398649995,42590250
1760398650035,42441140
1760398650075,43603098
1760398650114,41419633
1760398650154,40486352
1760398650194,38891217
1760398650234,41041014
1760398650274,41735857
1760398650314,41444096
1760398650354,41143813
1760398650394,41091866
1760398650434,41288526
1760398650474,41518443
1760398650514,42616635
1760398650554,42829100
1760398650595,42709813
1760398650635,42620896
1760398650675,42216307
1760398650715,41886753
1760398650755,41822571
1760398650795,41446018
1760398650835,41246060
1760398650875,41206205
1760398650915,41151508
1760398650955,40992640
1760398650995,40855626
1760398651035,40857137
1760398651074,40862497
1760398651114,40832534
1760398651154,40593684
1760398651194,40185658
1760398651234,40149240
1760398651274,39863662
1760398651314,39658896
1760398651354,39091863
1760398651394,39356826
1760398651434,39923996
1760398651474,40363903
1760398651514,40859883
1760398651554,47962562
1760398651594,47382972
1760398651634,47736880
1760398651674,47924660
1760398651714,48012736
1760398651754,48640782
1760398651794,48951898
1760398651834,48898068
1760398651874,48734983
1760398651914,48540515
1760398651954,48433077
1760398651994,48429733
1760398652033,48537000
1760398652073,48554183
1760398652113,48640119
1760398652153,48700135
1760398652193,48753934
1760398652233,48797731
1760398652273,48814181
1760398652313,48821191
1760398652353,48835301
1760398652393,48871686
1760398652433,48917953
1760398652473,48927353
1760398652514,48934503
1760398652554,48868693
1760398652594,48805976
1760398652634,48611547
1760398652674,48460052
1760398652714,48468960
1760398652754,48253462
1760398652794,48275224
1760398652834,48301918
1760398652874,48302290
1760398652914,48308295
1760398652954,48710067
1760398652993,48979355
1760398653033,49157042
1760398653073,49198508
1760398653113,49428227
1760398653153,50078719
1760398653193,50471362
1760398653233,51099659
1760398653273,51630903
1760398653313,51904107
1760398653353,52390399
1760398653393,53244951
1760398653433,53498812
1760398653473,53758790
1760398653513,54221602
1760398653553,54157308
1760398653593,53125040
1760398653633,52919896
1760398653673,52611943
1760398653713,52387788
1760398653753,52820924
1760398653793,53562996
1760398653833,54097403
1760398653873,56338804
1760398653913,56730001
1760398653952,47185551
1760398653992,47363369
1760398654032,48040825
1760398654072,49816984
1760398654112,50561767
1760398654152,48805293
1760398654192,49634667
1760398654232,50320409
1760398654272,52184954
1760398654312,53953861
1760398654352,44606602
1760398654392,45524714
1760398654433,46627905
1760398654473,46545042
1760398654513,47321932
1760398654553,48100208
1760398654593,48272513
1760398654633,49568374
1760398654673,50965749
1760398654713,51354194
1760398654753,52968764
1760398654793,55121276
1760398654833,58715722
1760398654873,61648589
1760398654912,62222352
1760398654952,60003700
1760398654992,59604608
1760398655032,59595262
1760398655072,60610585
1760398655112,61153291
1760398655152,61120311
1760398655192,60675591
1760398655232,60321438
1760398655272,58908394
1760398655312,57984738
1760398655352,58766155
1760398655392,58188957
1760398655432,61275329
1760398655472,60267289
1760398655512,53828894
1760398655552,62834045
1760398655592,76027613
1760398655632,80450204
1760398655672,64836931
1760398655712,40449246
1760398655752,31421419
1760398655792,27536035
1760398655832,26056754
1760398655871,24852054
1760398655911,23156870
1760398655951,26661852
1760398655991,29489308
1760398656031,31296360
1760398656071,31003224
1760398656111,29575615
1760398656151,28699369
1760398656191,31806494
1760398656231,37248532
1760398656271,37586196
1760398656311,42317451
1760398656352,41221458
1760398656392,40129590
1760398656432,37493570
1760398656472,33285227
1760398656512,27799760
1760398656552,20985772
1760398656592,18640274
1760398656632,14393455
1760398656672,9918362
1760398656712,8515079
1760398656752,8024048
1760398656792,7417986
1760398656831,7123751
1760398656871,7843052
1760398656911,12658831
1760398656951,15592108
1760398656991,11800173
1760398657031,11869300
1760398657071,11917814
1760398657111,13054210
1760398657151,14938220
1760398657191,14351125
1760398657231,15673326
1760398657271,17467048
1760398657311,18441691
1760398657351,19444507
1760398657391,20104714
1760398657431,20391391
1760398657471,21317113
1760398657511,20300275
1760398657551,19215278
1760398657591,16990306
1760398657631,15421145
1760398657671,15032909
1760398657711,14900843
1760398657751,14261521
1760398657790,13882494
1760398657830,13556650
1760398657870,12335185
1760398657910,10959522
1760398657950,9869852
1760398657990,8585169
1760398658030,7394763
1760398658070,7357381
1760398658110,15113168
1760398658150,20908947
1760398658190,20584206
1760398658230,21371123
1760398658270,22286532
1760398658310,22962408
1760398658350,24980275
1760398658390,24401838
1760398658430,20617186
1760398658470,17022192
1760398658510,16186074
